"","AVGFACSAL","SAT_AVG","RET_FT4","PCIP12","PCIP46","COMP_2YR_TRANS_YR2_RT","IND_WDRAW_2YR_TRANS_YR2_RT","NOPELL_WDRAW_4YR_TRANS_YR2_RT","COMP_2YR_TRANS_YR3_RT","UNKN_4YR_TRANS_YR4_RT","DEP_ENRL_2YR_TRANS_YR4_RT","LO_INC_COMP_2YR_TRANS_YR6_RT","LOAN_UNKN_ORIG_YR6_RT","FIRSTGEN_COMP_2YR_TRANS_YR6_RT","DEP_WDRAW_2YR_TRANS_YR8_RT","IND_WDRAW_2YR_TRANS_YR8_RT","PELL_WDRAW_4YR_TRANS_YR8_RT","IND_INC_PCT_H2","GT_25K_P6","MN_EARN_WNE_P6","COSTT4_A","RETURN"
"374574",4485.39284761905,917.326466666667,0.593817133333334,0,0,0.023322776,0.03572966,0.0505406556364333,0.032610983,0.032394625,0.013033175,0.032569361,0.008974359,0.028473804,0.028358209,0.031774051,0.028640442,0.0100104275,0.415,23700,23473.9391484569,0.0096302904303116
"374972",4311,898.665793939394,0.292564591428572,0,0,0.012330199,0.053770853,0.038863976,0.021602329,0.004336513,0.024570025,0.046917131,0.0136685,0.042777778,0.093830334,0.065330364,0.117484597,0.0062011943,0.386,22700,21450,0.0582750582750583
"375416",3292,885.2998,0.73976912547619,0.2367,0,0.008503792,0.027887139,0.0782474140184333,0.010676965,0.042987135,0.014492754,0.0305048625739333,0.0253944630626333,0.028753994,0.057692308,0.05961377,0.124439521449867,0.0039423294,0.37,21200,27141,-0.218893924321138
"375489",3492,930.6552,0,0,0,0.007660293,0.042752955,0.040449438,0.009244928,0.036816065,0.021084337,0.0296599381947666,0.0201257755993334,0.027667984,0.0555474116406667,0.0481616620843,0.0986810409735666,0.0052680222,0.537,29100,23464,0.240197749744289
"376224",1818,888.4209,0.4444,0,0,0.031269943,0.020710059,0.0825082708221333,0.036120732,0.035772358,0.0202879682266,0.0337768978152333,0.017211704,0.02310231,0.025462963,0.024074074,0.0711214368486333,0.00527842118232665,0.217,17400,11666,0.491513800788617
"377069",5154,941.130366666666,0,0,0,0.006893369,0.029339853,0.036825954,0.006985228,0.023048297,0.010621921,0.020873599,0.019602851,0.020045558,0.069049553,0.041760216,0.149405024,0.0098172538,0.593,34000,26492,0.283406311339272
"377111",3467,877.954966666667,0.658272643809523,0,0,0.008503792,0.027887139,0.0836329246397999,0.010676965,0.042987135,0.014492754,0.0307906274439,0.0237376733139333,0.028753994,0.057692308,0.05961377,0.1239092564439,0.0039423294,0.37,21200,27701,-0.234684668423523
"377449",3661,877.4669,0.506951456395892,0,0,0.013563502,0.040087464,0.122021828326767,0.014229812,0.008434548,0.0196969105594667,0.0335986718127667,0.007918552,0.029661017,0.052863436,0.051748252,0.170864534,0.00517181629969666,0.256,18500,28639,-0.354027724431719
"377458",3838,877.2522,0.515408966395892,0,0,0.013563502,0.040087464,0.1228050927022,0.014229812,0.008434548,0.0194644213339,0.0335891767247333,0.007918552,0.029661017,0.052863436,0.051748252,0.170864534,0.00514567746445667,0.256,18500,27455,-0.326170096521581
"377555",9302,1014,0.7861,0,0,0.002652129,0.0219218474317,0.020967742,0.002147239,0.003027888,0.0256371831678,0.0113967619239666,0.01187926,0.0138583905522333,0.0369501483925667,0.0295698591735,0.037103746,0.0282574568,0.771,48700,22800,1.1359649122807
