"","AVGFACSAL","SAT_AVG","RET_FT4","PCIP12","PCIP46","COMP_2YR_TRANS_YR2_RT","IND_WDRAW_2YR_TRANS_YR2_RT","NOPELL_WDRAW_4YR_TRANS_YR2_RT","COMP_2YR_TRANS_YR3_RT","UNKN_4YR_TRANS_YR4_RT","DEP_ENRL_2YR_TRANS_YR4_RT","LO_INC_COMP_2YR_TRANS_YR6_RT","LOAN_UNKN_ORIG_YR6_RT","FIRSTGEN_COMP_2YR_TRANS_YR6_RT","DEP_WDRAW_2YR_TRANS_YR8_RT","IND_WDRAW_2YR_TRANS_YR8_RT","PELL_WDRAW_4YR_TRANS_YR8_RT","IND_INC_PCT_H2","GT_25K_P6","MN_EARN_WNE_P6","COSTT4_A"
"234933",6248,981.205733333333,0.659362608095239,0.0598,0.0029,0.010464833,0.040949101,0.0275,0.017817372,0.011004615,0.015957447,0.034275921,0.015005359,0.031620553,0.051470588,0.044976077,0.084912281,0.0052377959,0.542,30300,11599
"235097",6708,966,0.7615,0,0,0.00537191866783333,0.0125764340867,0.056306306,0.005453837,0.00835771,0.0130269132351,0.0123235367453333,0.008117707,0.013715711,0.010847458,0.012903226,0.07896735,0.0102425876,0.653,34700,18836
"235149",6242,932.426233333334,0.623619766666667,0.0161,0,0.009872242,0.010443864,0.073059361,0.021041557,0.017651573,0.0226852026462334,0.0334405601290667,0.035916824,0.032323232,0.0396040141690666,0.0343264071870333,0.135538954,0.012718601,0.545,29800,11998
"235237",6039,926.392666666667,0.608984773333333,0,0.0053,0.010050251,0.023600439,0.075581395,0.012653223,0.018941504,0.021523179,0.0294641325331001,0.029457364,0.0287406598304,0.031746032,0.02230047,0.159090909,0.0087349398,0.55,30800,11640
"236692",6160,947.705933333334,0.683143913809524,0.0379,0.0427,0.009923664,0.01607717,0.047945206,0.017043592,0.018552201,0.0140961613725333,0.0277174148812,0.014965986,0.024731183,0.019815059,0.022068096,0.112543381,0.0045950603,0.513,29600,10657
"236708",5991,892.8682,0.59495912,0,0,0.010495382,0.015362107,0.103846154,0.022540984,0.022488038,0.0219499608747667,0.032183908,0.014058107,0.037564767,0.045370086718,0.0378074127032,0.151555261,0.00792575879241333,0.457,26300,11948
"236753",6233,948.5618,0.644722903963585,0,0,0.005225653,0.0180461062842,0.06779661,0.01170412,0.025013897,0.0151622969353667,0.0222217833317,0.013513514,0.0229864809635333,0.024539877,0.013658537,0.150741351,0.0091685109,0.54,30800,10719
"236939",8419,1050,0.8151,0,0,0.004706889,0.0192528064243,0.055218112,0.006354249,0.005570456,0.0215287178266,0.011371238,0.011519473,0.01043997,0.0386078335401333,0.0339769816789,0.059429106,0.0292845258,0.723,40800,24939
"236993",3046,902.640033333333,0.558009799285714,0,0,0.014831461,0.05234657,0.0597479533894332,0.019248974,0.00849501429196666,0.016861219,0.037271004,0.019796041,0.032520325,0.071258907,0.077399381,0.072261072,0.0039047247,0.401,22000,22913
"237215",5587,910,0.5326,0,0,0.017713366,0.0540911187587,0.119266055,0.020408163,0.0140987217307,0.0258522368979667,0.0379761425096333,0.0179254470998667,0.0370604995576333,0.046255507,0.070240296,0.138221154,0.0212121212,0.515,29100,15225
